EAN,Total
3968600833473,1
0191126950284,1
7569143820621,1
2705140928037,1
9830391008108,1
3039245054025,1
6194768427002,1
6978363826350,1
2666733210512,1
3726212774009,1
6886778382210,1
9632709420387,1
0227867819631,1
1326983446208,1
4749136042046,1
6282374002499,1
3359907564212,1
2045936905300,1
4270229099796,1
1846205234548,1
0651020229713,1
8872341006131,1
3581173655015,1
8108499855216,1
3287425624081,1
3636002675846,1
7547662604151,1
6232473294448,1
0194012822726,1
9292256940884,1
1884257734807,1
0358170616393,1
4811472870604,1
0631386626401,1
0607700002091,1
6988842313004,1
5796764564586,1
7535096642818,1
5314300563345,1
9338080255944,1
9990041184672,1
8985787888893,1
0512595115903,1
6358706879234,1
2864500397712,1
4771208434411,1
3353269497386,1
3674615714477,1
5786160872088,1
4598210880599,1
1925515729316,1
1419539240556,1
5047126002551,1
9297742472047,1
5327358796184,1
0673364369078,1
3054066626701,1
5772715035664,1
9822542327121,1
1263475720975,1
8041785529098,1
5109263445780,1
5161284787010,1
5153484969624,1
9613973317726,1
6890202499702,1
7998660897333,1
2863748603180,1
3272423264049,1
0761286910840,1
7977249259236,1
3570230765743,1
6944904013299,1
5139271989938,1
1631900897637,1
4697368151459,1
8439220109668,1
7444904942852,1
6855621726839,1
9824059449136,1
7629500644465,1
2986694250021,1
4547536554059,1
9730310602717,1
2617594893505,1
0533350984435,1
9090165135243,1
4520822883545,1
5364368037098,1
8479741829249,1
7242294927431,1
9657890857804,1
4795373245672,1
3621597259700,1
8309548019669,1
7586501720683,1
0917441923631,1
8807432053671,1
1245607220621,1
3636306557367,1
1900149128667,1
1554765282359,1
8155607097969,1
6426532341796,1
8981593141757,1
7705334866829,1
2571968504339,1
9816898799480,1
5985873550706,1
8619764312322,1
0619438423864,1
1406635203288,1
5676045830626,1
1985806315963,1
8638301856372,1
6922521586174,1
8769140760398,1
2307563957221,1
6841572733125,1
0502358641695,1
5188496450488,1
4404596100858,1
8563672155765,1
5237663617855,1
6899997271265,1
7939271204776,1
9960111119538,1
2270517170529,1
9178025767169,1
5016609231412,1
3032791705779,1
5786137159211,1
1164885209480,1
8310853657989,1
0330571958982,1
8625606414222,1
1829752489821,1
7974376745595,1
9186085568022,1
8657118739517,1
6667110304646,1
6710130019493,1
0113458743754,1
7471406535916,1
0769343815572,1
0742006872808,1
9846275804254,1
2444639785453,1
4991793417914,1
8020902551549,1
1453611015946,1
8745776724966,1
5541628382833,1
2891841482463,1
8947674260922,1
3727053020553,1
4231898424654,1
6930173055979,1
3727550840333,1
1361258006916,1
1253674016658,1
6913151520676,1
7277229175489,1
4543809032415,1
1475170267444,1
8759302405878,1
7405610029824,1
4978866545002,1
9097177895295,1
6113291224728,1
4553708537683,1
2769181071244,1
1846697315411,1
6108105710719,1
1743619969434,1
9402355839860,1
3960027897854,1
5701284032125,1
9709644646629,1
3140235931476,1
9205621303108,1
9883555701131,1
2223525189731,1
4428135073878,1
7627406577702,1
2817279046299,1
2329348322666,1
0828432092925,1
9349307589230,1
6633675192004,1
2679446441784,1
8258374525328,1
4462259172710,1
4074645566739,1
4731981423804,1
1837225956923,1
3092102166842,1
7280631221187,1
0270226149894,1
0414340892315,1
2029271816644,1
1162443438266,1
0254732240832,1
2268779472000,1
3649741766249,1
7326817653097,1
2578124792531,1
0835679728043,1
4529970004130,1
9420267477192,1
2417425878004,1
5841942570221,1
1235639047082,1
6514629498239,1
6663939022273,1
4481641323127,1
1378824372269,1
8354821433786,1
7560616902769,1
7829663201905,1
5358048910719,1
8500213043860,1
5868014735029,1
6601726863005,1
8701811129035,1
6716902477935,1
9640239049589,1
9151810011210,1
2274465923169,1
0081727489170,1
3070270883198,1
2990513887411,1
7805247547324,1
9318920270191,1
6121781734275,1
6671938743082,1
0911040072905,1
5290439640969,1
2430728736994,1
9793631916123,1
1983941893629,1
2441289746896,1
4606134814962,1
2617526410565,1
4654537127417,1
6056419607495,1
1056587070652,1
3812144279597,1
3447182026324,1
3236290501935,1
4135451441051,1
1976199426978,1
9177994066495,1
3288305363618,1
5608848275694,1
9454881527377,1
7503257171132,1
2309253022790,1
6991336653265,1
9529755512497,1
7067684105271,1
9124270422537,1
8985671593186,1
7566263565692,1
6647196199923,1
0915407396413,1
0329482752444,1
2425286948118,1
7612868584689,1
8535482593259,1
1848508897512,1
5016246416777,1
7952035179783,1
1222395940184,1
6782899202195,1
2790571479173,1
2427338257216,1
0402504828157,1
4729829622755,1
3439273052800,1
3372728162917,1
7510325268120,1
8299729546797,1
7490748910588,1
0063202807150,1
3778306306092,1
1492116804778,1
2651420529343,1
3739044445238,1
8312592926005,1
3336531319975,1
2585596758743,1
1957486782144,1
1452805605246,1
8811414128554,1
3261280900313,1
7739019473651,1
1533527717742,1
9213311077352,1
5128220131412,1
6666211525905,1
1958858588777,1
7305265947415,1
3731215047739,1
9648951705837,1
7966580723629,1
4269496861076,1
2578937487174,1
2143216208704,1
2294097501689,1
3645712254852,1
9967005161864,1
6195796484234,1
5607506362424,1
8246194293626,1
8030295075324,1
7462147333299,1
2976970700661,1
8559466491805,1
6619001886397,1
1134510287152,1
5320572840220,1
0908523783298,1
5510630611613,1
0345820426655,1
0734427063330,1
4892761666023,1
3326612635858,1
1639829731469,1
2656026356256,1
3977287490145,1
7279022521579,1
2863644860007,1
9819009860741,1
1590063192303,1
2979457434714,1
5994904926656,1
4630403520520,1
8758855619022,1
4703644509880,1
6365997588325,1
8196128578650,1
4656451748945,1
4604954136738,1
4619409669426,1
3062003046666,1
