Brand,Average Price
Herman Ltd,585.0
"Braun, King and Rollins",992.0
Peck-Coleman,940.0
Hines Ltd,324.0
"Spence, Webster and Orr",908.0
"Marks, Guzman and Cooley",627.0
Newman-Barajas,385.0
"Gutierrez, Singleton and Downs",296.0
Weber and Sons,870.0
Humphrey and Sons,602.0
Moreno-Weaver,707.0
"Gentry, Vincent and Saunders",499.0
Mclean-Aguilar,79.0
Mcdaniel LLC,897.0
Sosa LLC,581.0
Macias Group,223.0
Ali Group,494.0
Gray-Deleon,881.0
"Yates, Logan and Cervantes",601.0
"Acosta, Sullivan and Chaney",261.0
Mullins-Dodson,350.0
Farrell-Ramos,726.0
Bautista-Allen,756.0
Larson LLC,397.5
"Bryan, Benitez and Barton",257.0
"Brock, Lawrence and Pennington",263.0
"Luna, Davidson and Galvan",951.0
Fleming PLC,721.5
Aguirre-Mercado,809.0
Branch Ltd,989.0
Carter-Holland,962.0
Pollard-Branch,399.0
"Preston, Bowen and Singh",285.0
"Cunningham, Barr and Ponce",894.0
"Houston, Newton and Terry",141.0
Galvan PLC,372.0
Sims LLC,711.0
Brewer-Day,865.0
Stevenson-Cummings,409.0
Foley-Thornton,787.0
"Pace, Becker and Ibarra",334.0
Fernandez-Hendrix,830.0
Rowe-Robinson,339.0
"Anthony, Monroe and Myers",128.0
Ray-Monroe,716.0
Johns-Huber,625.0
Robbins and Sons,696.0
Novak-Hamilton,526.0
"Le, Sampson and Walsh",703.0
Bautista-Green,363.0
"Gonzales, Best and Ponce",52.0
Wolfe-Holden,685.0
Mcclure and Sons,150.0
Powers-Burgess,312.0
Lynch PLC,673.0
Meza-Roberson,425.0
"Bernard, Bird and Eaton",478.0
Lawrence LLC,698.0
"Zimmerman, Esparza and Andrews",196.0
Chavez-Preston,747.0
Williams-Morrison,63.0
"Costa, Mcneil and Stafford",361.0
Conrad Group,467.6666666666667
Page and Sons,38.0
Hurst Inc,119.0
"Russell, Vance and Ortiz",379.0
Hogan Ltd,579.6666666666666
Bautista Ltd,246.0
"Davila, Bowman and Flynn",71.0
"Harding, Frederick and Holloway",689.0
Alvarado Ltd,82.5
Robbins-Duffy,84.0
Henson-Ware,712.0
Avery-Meadows,795.0
"Jones, Weber and Pitts",367.0
"Valenzuela, Mahoney and Lowery",594.0
Huffman-Washington,976.0
"Torres, Christensen and Edwards",955.0
"Pacheco, Villanueva and Hubbard",787.0
Espinoza-Bowman,321.0
Haynes LLC,525.0
Espinoza-Bond,551.0
Perez Group,713.0
"Wilkinson, Dawson and Berger",200.0
Roth-James,862.0
Bradley Inc,522.0
Weeks and Sons,865.0
Hebert Group,452.0
Park-Huffman,472.0
Christensen Inc,566.0
Brown-Berg,455.0
Yates-Blankenship,264.0
"Frazier, Mitchell and Maxwell",65.0
Hale Inc,711.0
Serrano PLC,717.0
Ortiz LLC,688.0
Casey Ltd,346.5
"Mcknight, Parsons and Haley",784.0
"Pennington, York and Roberson",330.0
Stein and Sons,148.5
Maddox-Day,414.0
Greer LLC,759.0
Simon Inc,366.3333333333333
"Flynn, Morse and Horn",733.0
"Marks, Morrison and Morrow",503.0
Barron and Sons,504.0
"Farrell, Gamble and Dodson",704.0
"Cox, Nguyen and Valencia",863.0
Mendez PLC,814.6666666666666
Jarvis-Bean,12.0
Neal Inc,674.0
Fry Ltd,475.0
Hobbs-Mcclain,70.0
"Melton, Potter and Flores",61.0
Lawson PLC,802.0
Stephenson-Pacheco,940.0
Butler-Mayer,254.0
Gibson Inc,848.0
"Morton, Newman and Vega",519.0
Everett Group,260.5
Durham PLC,86.0
Jones-Lawrence,470.0
"Gomez, Parker and Wheeler",924.0
"Saunders, Farley and Bradley",691.0
Rosario-Velez,577.0
Peters and Sons,527.0
Abbott-Mccall,146.0
"Walker, Pittman and Wood",918.0
Waller Ltd,350.5
"Golden, Booker and Green",520.0
"Norman, Dalton and Wolf",207.0
"Richardson, Knox and Parsons",307.0
Hutchinson Ltd,801.0
"Mcmillan, Benton and Schneider",220.0
"Gilmore, Frey and Barron",628.0
Carpenter Group,362.0
Brady-Meyers,864.0
"Sanford, Pennington and Lang",272.0
Barrera-Phelps,672.0
"Wu, Mcclure and Peters",446.0
Mcdaniel-Shelton,899.0
Weiss LLC,376.0
"Finley, Frey and Adkins",481.0
Benton Inc,990.0
"Blevins, Meadows and Porter",546.0
Pham-Robinson,39.0
"Archer, Bryant and Parker",832.0
Lawson Group,931.0
Norton LLC,405.0
Randolph-Richardson,26.0
Dixon-Pearson,192.0
"Anderson, Barker and Blevins",655.0
Molina Group,556.0
Drake-Stanley,400.0
"Simon, Andrade and Riggs",797.0
West LLC,649.0
Hernandez-Castro,283.0
Villanueva-Steele,426.0
Potter LLC,367.0
Hobbs-Key,709.0
Cruz-Sanford,145.0
Robertson-Brown,903.0
Huffman PLC,548.3333333333334
Villegas-Stephenson,946.0
"Patton, Merritt and Baker",745.0
Arnold-Melton,663.0
Howe Group,456.0
"Hurst, Travis and Cervantes",234.0
Frank and Sons,519.5
Simpson LLC,228.5
Ballard-Potter,44.0
Keith-Howe,668.0
Bradshaw LLC,677.0
Brady PLC,707.3333333333334
Goodwin Inc,117.0
Wilkins PLC,172.0
"Frazier, Gamble and Meza",687.0
"Mcguire, Peterson and Pratt",823.0
Fernandez-Russell,518.0
Mann Ltd,466.0
"Hudson, Mueller and Vargas",900.0
Levine-Dominguez,753.0
Park Group,259.0
Santos PLC,548.5
Reyes Group,117.5
"Branch, Rocha and Orozco",186.0
Tapia-Russo,725.0
"Hunter, Mullen and Haley",292.0
"Singh, Allison and Horton",429.0
Mclean-Ortega,765.0
Brennan-Kline,518.0
Rasmussen-Mckee,248.0
Mckee-Golden,589.0
"Reed, Christian and Walters",180.0
"Morrison, Hodge and Hart",456.0
Stuart and Sons,593.0
Wise Group,281.5
"Schmidt, Greene and Huerta",836.0
Bryant-Bauer,752.0
Oneill-Phillips,553.0
Petty Group,687.5
Soto PLC,122.5
"Walsh, Benitez and Meza",46.0
Byrd-Meza,192.0
Osborne-Vaughan,725.0
Scott-Hendrix,143.0
Cross-Zhang,640.0
Cunningham-Smith,532.0
Savage-Woodward,608.0
David-Pope,507.0
"Gamble, Allen and Contreras",445.0
Frost-Cook,256.0
Santos Group,95.0
"Mcclure, Bolton and Webb",468.0
Melton-Bond,977.0
Maynard-Becker,30.0
Daniel PLC,261.0
Reyes-Gonzales,476.0
Alvarez-Young,347.0
"Dixon, Cervantes and Green",153.0
Contreras PLC,488.0
"Patterson, Andersen and Maldonado",104.0
Mendoza-Boyd,207.0
"Pope, Dudley and Humphrey",781.0
"Cummings, Rosario and Oneill",273.0
"Mcmillan, Williamson and Hernandez",130.0
Pittman PLC,484.0
Mcintosh Group,264.0
"Weiss, Marshall and David",803.0
Leonard-Ayers,527.0
Solis-Swanson,934.0
"Elliott, Ward and Cunningham",352.0
Lamb Group,794.0
"Bowers, Vargas and Allen",561.0
Martin-Gutierrez,237.0
"Stuart, Hester and Vance",11.0
Hahn-Conrad,672.0
Blanchard PLC,776.0
Stevens Ltd,558.0
Mcclure Group,621.0
Hendrix-Downs,722.0
"Joyce, Browning and Sexton",567.0
Braun-Lang,413.0
"Ibarra, Hutchinson and Frazier",706.0
Griffin Inc,286.6666666666667
"Potts, Smith and Wilson",331.0
"Stanley, Spence and Shah",798.0
Francis LLC,116.0
"Cunningham, Barry and Skinner",860.0
"Reid, Leonard and Santos",810.0
Mcclain LLC,430.5
Mercer and Sons,678.75
Lane-Woodward,357.0
"Carlson, Zuniga and Huerta",707.0
"Avery, Hopkins and Lopez",66.0
Hensley-Parsons,659.0
David LLC,789.0
Boyle-Leonard,946.0
Ballard-Jacobs,335.0
"Rush, Bowen and Gibson",619.0
Watkins Group,219.0
"Rubio, Carey and Jimenez",905.0
Palmer-Kirk,220.0
Wilkinson Group,864.0
Lowe-Lin,591.0
Wallace LLC,442.5
Kaufman and Sons,535.0
Patel Inc,718.0
"Norris, Mora and Ramirez",989.0
Vang-Haney,144.0
Rowe-Dominguez,483.0
Crane Inc,318.0
Chandler Group,418.0
Decker Group,602.5
Scott and Sons,485.5
Wells Group,688.5
Romero-Mcneil,907.0
"Scott, Vance and Knight",282.0
Chung Ltd,307.0
Porter-Stuart,422.0
Rhodes-Phillips,778.0
Kent and Sons,571.5
"Mcmillan, Foster and Banks",570.0
Sims-Villa,776.0
"Oconnell, Krueger and Harrell",962.0
"Mcmahon, Goodwin and Davies",886.0
Malone-Rojas,848.0
"Wang, Bullock and Neal",7.0
"Rosario, Baldwin and Chen",95.0
"Moyer, Davis and Sampson",471.0
"Brennan, Hutchinson and Morgan",382.0
"Glenn, Chase and Lyons",597.0
Hood Ltd,243.5
Gibson-Rhodes,464.0
Davila-Webster,616.0
Stone PLC,390.0
Morse PLC,982.0
Frazier-Sparks,604.0
Sheppard-Shaw,713.0
Barnes and Sons,21.0
Bates-Best,343.0
Romero PLC,902.0
"Delacruz, Ponce and Newton",739.0
Black-Carpenter,848.0
Huffman-Cook,609.0
Thomas LLC,479.0
"Kelley, Rosario and Poole",615.0
"Johnson, Archer and Ashley",926.0
Fernandez-Warner,697.0
"Meza, Mckee and Mcpherson",292.0
Romero-Beard,65.0
"Kline, Pacheco and Ward",365.0
"Osborn, Hickman and Neal",839.0
Page-Mcneil,220.0
"Turner, Delacruz and Carey",553.0
Bartlett Inc,320.0
Rojas Inc,192.5
Roach Inc,65.0
"Rivas, Tucker and Leon",186.0
"Hardy, Gallagher and Terry",562.0
Simmons-Gilbert,40.0
Dillon PLC,729.0
"Patterson, Buck and Foster",707.0
Lang-Morris,279.0
"Short, Lee and Barrera",553.0
Beltran-Mcclure,835.0
"Gibbs, Gonzalez and Pope",4.0
Olsen-Trevino,971.0
Mathews PLC,911.0
Castillo Group,13.0
Avery-Clay,26.0
Schmitt Inc,944.0
"Mcconnell, Horton and Alvarez",748.0
"Frederick, Guerrero and Brewer",310.0
Pena-Beard,829.0
Cross Ltd,199.0
Schmitt-Foley,74.0
Cooke-Lane,714.0
Khan Group,434.0
"Ingram, Burgess and Weber",285.0
Wilcox-Dudley,145.0
"Jarvis, Wiley and Diaz",594.0
Schneider-Arroyo,830.0
Cobb and Sons,186.0
"Medina, Pruitt and Knight",576.0
Salas and Sons,608.0
Caldwell LLC,443.0
"Deleon, Huffman and Murillo",408.0
"Whitehead, Prince and Shelton",115.0
Pacheco Ltd,571.0
Parks PLC,344.0
Bray Inc,333.0
"Juarez, Herring and Escobar",669.0
Jacobson-Blair,157.0
Archer-Acosta,600.0
Chase-Barker,755.0
Taylor-Garner,213.0
"Hanna, Wilkinson and Morse",881.0
West Ltd,590.0
Dennis Ltd,640.0
Thomas-Hale,475.0
Hahn PLC,17.0
"Stout, Cisneros and Warner",74.0
"Bruce, Ramirez and Stark",141.0
"Estrada, Lloyd and Holt",954.0
Garrett PLC,208.0
Greene-Hendricks,43.0
"Fuentes, Quinn and Charles",567.0
Mathews LLC,343.0
Thomas Group,428.5
Marquez Group,802.0
"Middleton, Booker and Chaney",20.0
