Brand,Total Inventory Value
Herman Ltd,113490.0
"Braun, King and Rollins",718208.0
Peck-Coleman,722860.0
Hines Ltd,30132.0
"Spence, Webster and Orr",557512.0
"Marks, Guzman and Cooley",564927.0
Newman-Barajas,140910.0
"Gutierrez, Singleton and Downs",180264.0
Weber and Sons,809100.0
Humphrey and Sons,555646.0
Moreno-Weaver,181699.0
"Gentry, Vincent and Saunders",53892.0
Mclean-Aguilar,16037.0
Mcdaniel LLC,303186.0
Sosa LLC,509537.0
Macias Group,13826.0
Ali Group,782623.0
Gray-Deleon,29954.0
"Yates, Logan and Cervantes",15626.0
"Acosta, Sullivan and Chaney",20880.0
Mullins-Dodson,294700.0
Farrell-Ramos,156090.0
Bautista-Allen,111888.0
Larson LLC,750001.0
"Bryan, Benitez and Barton",33410.0
"Brock, Lawrence and Pennington",228021.0
"Luna, Davidson and Galvan",180690.0
Fleming PLC,225981.0
Aguirre-Mercado,202250.0
Branch Ltd,869331.0
Carter-Holland,525252.0
Pollard-Branch,35112.0
"Preston, Bowen and Singh",239400.0
"Cunningham, Barr and Ponce",768840.0
"Houston, Newton and Terry",99264.0
Galvan PLC,580312.0
Sims LLC,634212.0
Brewer-Day,512945.0
Stevenson-Cummings,28221.0
Foley-Thornton,633535.0
"Pace, Becker and Ibarra",12692.0
Fernandez-Hendrix,99600.0
Rowe-Robinson,74580.0
"Anthony, Monroe and Myers",93056.0
Ray-Monroe,441772.0
Johns-Huber,108125.0
Robbins and Sons,1002742.0
Novak-Hamilton,496544.0
"Le, Sampson and Walsh",402116.0
Bautista-Green,90750.0
"Gonzales, Best and Ponce",6292.0
Wolfe-Holden,121930.0
Mcclure and Sons,122400.0
Powers-Burgess,234624.0
Lynch PLC,371496.0
Meza-Roberson,179350.0
"Bernard, Bird and Eaton",331254.0
Lawrence LLC,492541.0
"Zimmerman, Esparza and Andrews",183652.0
Chavez-Preston,482562.0
Williams-Morrison,33705.0
"Costa, Mcneil and Stafford",122740.0
Conrad Group,538936.0
Page and Sons,1102.0
Hurst Inc,41174.0
"Russell, Vance and Ortiz",298273.0
Hogan Ltd,1114373.0
Bautista Ltd,448958.0
"Davila, Bowman and Flynn",7100.0
"Harding, Frederick and Holloway",144690.0
Alvarado Ltd,99050.0
Robbins-Duffy,59052.0
Henson-Ware,687792.0
Avery-Meadows,216240.0
"Jones, Weber and Pitts",74868.0
"Valenzuela, Mahoney and Lowery",102168.0
Huffman-Washington,365024.0
"Torres, Christensen and Edwards",445030.0
"Pacheco, Villanueva and Hubbard",217999.0
Espinoza-Bowman,245886.0
Haynes LLC,958957.0
Espinoza-Bond,315723.0
Perez Group,44206.0
"Wilkinson, Dawson and Berger",10200.0
Roth-James,186192.0
Bradley Inc,804420.0
Weeks and Sons,805584.0
Hebert Group,43392.0
Park-Huffman,50976.0
Christensen Inc,156782.0
Brown-Berg,3640.0
Yates-Blankenship,159456.0
"Frazier, Mitchell and Maxwell",44395.0
Hale Inc,126558.0
Serrano PLC,689754.0
Ortiz LLC,657308.0
Casey Ltd,212523.0
"Mcknight, Parsons and Haley",706384.0
"Pennington, York and Roberson",50820.0
Stein and Sons,71984.0
Maddox-Day,119232.0
Greer LLC,691449.0
Simon Inc,632453.0
"Flynn, Morse and Horn",33718.0
"Marks, Morrison and Morrow",129271.0
Barron and Sons,232848.0
"Farrell, Gamble and Dodson",281600.0
"Cox, Nguyen and Valencia",784467.0
Mendez PLC,1112864.0
Jarvis-Bean,9528.0
Neal Inc,720747.0
Fry Ltd,183350.0
Hobbs-Mcclain,3360.0
"Melton, Potter and Flores",52460.0
Lawson PLC,136340.0
Stephenson-Pacheco,37600.0
Butler-Mayer,107696.0
Gibson Inc,706384.0
"Morton, Newman and Vega",442707.0
Everett Group,264006.0
Durham PLC,150433.0
